participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P60,WF-007-NR-F_6,4,WF,007,NR,F,6,Female,Scared,6
P055,WF-007-NR-F_6,1,WF,007,NR,F,6,Female,Scared,6
P035,WF-007-NR-F_6,1,WF,007,NR,F,6,Female,Scared,6
P016,WF-007-NR-F_6,4,WF,007,NR,F,6,Female,Scared,6
P051,WF-007-NR-F_6,4,WF,007,NR,F,6,Female,Scared,6
P010,WF-007-NR-F_6,5,WF,007,NR,F,6,Female,Scared,6
P009,WF-007-NR-F_6,1,WF,007,NR,F,6,Female,Scared,6
P044,WF-007-NR-F_6,2,WF,007,NR,F,6,Female,Scared,6
P025,WF-007-NR-F_6,5,WF,007,NR,F,6,Female,Scared,6
P002,WF-007-NR-F_6,4,WF,007,NR,F,6,Female,Scared,6
P064,WF-008-NR-N_4,3,WF,008,NR,N,4,Female,Angry,4
P058,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P019,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P033,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P032,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P048,WF-008-NR-N_4,2,WF,008,NR,N,4,Female,Angry,4
P008,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P029,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P007,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P004,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P001,WF-008-NR-N_4,1,WF,008,NR,N,4,Female,Angry,4
P064,WF-008-NR-HC_1,4,WF,008,NR,HC,1,Female,Happy,1
P058,WF-008-NR-HC_1,3,WF,008,NR,HC,1,Female,Happy,1
P019,WF-008-NR-HC_1,4,WF,008,NR,HC,1,Female,Happy,1
P033,WF-008-NR-HC_1,5,WF,008,NR,HC,1,Female,Happy,1
P032,WF-008-NR-HC_1,4,WF,008,NR,HC,1,Female,Happy,1
P048,WF-008-NR-HC_1,5,WF,008,NR,HC,1,Female,Happy,1
P008,WF-008-NR-HC_1,4,WF,008,NR,HC,1,Female,Happy,1
P029,WF-008-NR-HC_1,5,WF,008,NR,HC,1,Female,Happy,1
P007,WF-008-NR-HC_1,4,WF,008,NR,HC,1,Female,Happy,1
P004,WF-008-NR-HC_1,4,WF,008,NR,HC,1,Female,Happy,1
P001,WF-008-NR-HC_1,5,WF,008,NR,HC,1,Female,Happy,1
P064,WF-008-NR-A_4,5,WF,008,NR,A,4,Female,Angry,4
P058,WF-008-NR-A_4,5,WF,008,NR,A,4,Female,Angry,4
P019,WF-008-NR-A_4,5,WF,008,NR,A,4,Female,Angry,4
P033,WF-008-NR-A_4,4,WF,008,NR,A,4,Female,Angry,4
P032,WF-008-NR-A_4,5,WF,008,NR,A,4,Female,Angry,4
P048,WF-008-NR-A_4,3,WF,008,NR,A,4,Female,Angry,4
P008,WF-008-NR-A_4,5,WF,008,NR,A,4,Female,Angry,4
P029,WF-008-NR-A_4,5,WF,008,NR,A,4,Female,Angry,4
P007,WF-008-NR-A_4,5,WF,008,NR,A,4,Female,Angry,4
P004,WF-008-NR-A_4,4,WF,008,NR,A,4,Female,Angry,4
P001,WF-008-NR-A_4,4,WF,008,NR,A,4,Female,Angry,4
P064,WF-008-NR-F_6,4,WF,008,NR,F,6,Female,Scared,6
P058,WF-008-NR-F_6,3,WF,008,NR,F,6,Female,Scared,6
P019,WF-008-NR-F_6,5,WF,008,NR,F,6,Female,Scared,6
P033,WF-008-NR-F_6,1,WF,008,NR,F,6,Female,Scared,6
P032,WF-008-NR-F_6,5,WF,008,NR,F,6,Female,Scared,6
P048,WF-008-NR-F_6,5,WF,008,NR,F,6,Female,Scared,6
P008,WF-008-NR-F_6,3,WF,008,NR,F,6,Female,Scared,6
P029,WF-008-NR-F_6,5,WF,008,NR,F,6,Female,Scared,6
P007,WF-008-NR-F_6,4,WF,008,NR,F,6,Female,Scared,6
P004,WF-008-NR-F_6,4,WF,008,NR,F,6,Female,Scared,6
P001,WF-008-NR-F_6,5,WF,008,NR,F,6,Female,Scared,6
P60,WF-009-NR-N_4,1,WF,009,NR,N,4,Female,Angry,4
P059,WF-009-NR-N_4,1,WF,009,NR,N,4,Female,Angry,4
P054,WF-009-NR-N_4,1,WF,009,NR,N,4,Female,Angry,4
